	Zadanie/etap	Nazwa kosztu	Wydatki ogółem	Wydatki kwalifikowalne	VAT	Dofinansowanie	Uzasadnienie kosztu	Metody szacowania																		
TRUE	1	Specjalista ds. Badań Elektrochemicznych	207 360,00 zł	207 360,00 zł	0	165 888,00 zł	Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy elektrochemiczny). Zakres obowiązków: planowanie i realizacja prac badawczych z zakresu opracowania elektrod i elektrolitów, analiza wyników badań, opracowywanie raportów i prezentacji naukowych, współpraca z innymi zespołami naukowo-technicznymi, propozycja dalszych modyfikacji baterii.	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 80 godz. w miesiącu. Wynagrodzenie: 11560 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 23 040 PLN/1 mies./0,5 etatu. Czas realizacji: 18 mies.																		
TRUE	1	Specjalista ds. modelowania procesów elektrochemicznych	368 640,00 zł	368 640,00 zł	0	294 912,00 zł	Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół elektrochemiczny). Zakres obowiązków: przeprowadzanie analizy modelowej, analiza kinetyki reakcji, opracowywanie modeli fizycznych i matematycznych, współpraca z zespołami badawczymi, wykonywanie badań i testów, analiza wyników badań	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 20480 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 20 480 PLN/1 mies./0,5 etatu. Czas realizacji: 18 mies.																		
TRUE	1	Chemik syntetyk	599 040,00 zł	599 040,00 zł	0	479 232,00 zł	Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół elektrochemiczny). Zakres obowiązków: projektowanie i opracowywanie tras syntetycznych, przeprowadzanie syntez organicznych i nieorganicznych, przygotowywanie dokumentacji technicznej, optymalizacja procesów i metod syntetycznych, analiza i interpretacja wyników badań, przestrzeganie standardów jakości i bezpieczeństwa	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 16640 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 16640  PLN/1 mies./1 etat. Czas realizacji: 18 mies.																		
TRUE	1	Elektrochemik	552 960,00 zł	552 960,00 zł	0	442 368,00 zł	"Zatrudnienie 2 pracowników naukowo-badawczych w ramach umowy zlecenia (Zespół elektrochemiczny). Zakres obowiązków: projektowanie i rozwijanie nowych materiałów, analiza i
testowanie właściwości materiałów, opracowywanie specyfikacji technicznych i instrukcji produkcyjnych,
współpraca z zespołami projektowymi i produkcyjnymi, utrzymywanie wiedzy na bieżąco,
planowanie i koordynacja badań nad nowymi materiałami, prowadzenie szkoleń dla pracowników"	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1 etat. Czas realizacji: 18 mies.																		
TRUE	1	Inżynier systemowy	138 240,00 zł	138 240,00 zł	0	110 592,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy
elektrochemiczny). Zakres obowiązków: analiza wymagań systemów, projektowanie rozwiązań
i architektury systemu, tworzenie dokumentacji technicznej, testowanie i wdrażanie systemów,
optymalizacja i integracja systemów, nadzorowanie wdrożenia systemów i oprogramowania,
odpowiedzialny za integrowanie układów elektrodowych i elektrolitów na stanowisku badawczym,
przeprowadzanie badań z zakresu pomiarów napięciowo"	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1 etat. Czas realizacji: 18 mies.																		
TRUE	1	Specjalista ds. projektowania i przeprowadzania eksperymentów	276 480,00 zł	276 480,00 zł	0	221 184,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy
elektrochemiczny). Zakres obowiązków: projektowanie i planowanie eksperymentów,
przeprowadzanie badań i eksperymentów laboratoryjnych, analiza wyników, tworzenie raportów z
badań"	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 15360 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 15360 PLN/1 mies./1 etat. Czas realizacji: 18 mies.																		
TRUE	1	Specjalista analizy danych i algorytmów obliczeniowych	115 200,00 zł	115 200,00 zł	0	92 160,00 zł	"Zatrudnienie 1 pracownika naukowo-badawczego w ramach umowy zlecenia (Zespół badawczy
elektrochemiczny). Zakres obowiązków: analizowanie wyników badań, opracowywanie raportów,
tworzenie modeli matematycznych i symulacji, odpowiedzialny za stworzenie i rozwój narzędzi do
analizy danych w oparciu o dostarczone dane z czujników i poszukiwane charakterystyki"	Na podstawie stawek rynkowych oparciu o dane pochodzące z platformy “wynagrodzenia.pl”, Raport Hays za rok 2022, Hays Raport Płacowy Contracting 2022 lub zgodnie ze stawkami obowiązującymi w przedsiębiorstwie Wnioskodawcy na tożsamych stanowiskach. Wymiar: 160 godz. w miesiącu. Wynagrodzenie: 12800 (brutto wraz z pozapłacowymi kosztami pracy). Stawka: 12800  PLN/1 mies./1 etat. Czas realizacji: 18 mies.																		
TRUE	1	Waga analityczna	8 610,00 zł	7 000,00 zł	0	5 600,00 zł	Umożliwia realizację etapu 1. Waga analityczna umożliwia dokładne ważenie substancji chemicznych i materiałów lab. w bardzo małych ilościach, co jest niezbędne badaniach nad elektrodami. Dzięki dokładności pomiarów możliwe jest uzyskanie precyzyjnych wyników  ksperymentów, co z kolei pozwala na bardziej trafne wnioski. Waga jest również niezbędna w procesie przygotowywania elektrolitów, gdyż pozwala na precyzyjne odmierzenie ilości składników potrzebnych do uzyskania żądanego stężenia.	Zaplanowano zakup wagi analitycznej służącej wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających w swojej ofercie urządzenia laboratoryjne: Danlab - łączny koszt w kwocie 5 500 zł netto Alchem - łączny koszt w kwocie 8 500 zł netto. Przyjęto średni koszt na poziomie 7 000 złotych netto. Jako koszt kwalifikowalny podano łączną kwotę planowaną do zakupu. Metodologia wyliczenia kosztu: 1 szt. x 7000 = 7000 zł																		
TRUE	1	Piec laboratoryjny	81 180,00 zł	66 000,00 zł	0	52 800,00 zł	Umożliwia realizację etapu 1. W badaniach nad elektrodami do baterii przepływowej konieczne jest przeprowadzenie procesów termicznych, takich jak suszenie, wypalanie lub redukcja. Piec laboratoryjny pozwala na precyzyjne kontrolowanie temperatury, czasu i atmosfery w trakcie tych procesów, co może mieć duży wpływ na właściwości elektrod.	Zaplanowano wynajem pieca laboratoryjnego służącego wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadającychurządzenia laboratoryjne: Danlab – łączny koszt w kwocie 81 000,00 zł netto Alchem – łączny koszt w kwocie 51 000 ,00 zł netto. Przyjęto średni koszt na poziomie 66 000 złotych netto. Jako koszt kw. podano łączną kwotę planowaną do wynajmu pieca laboratoryjnego. Metodologia szacowania kosztu: 1 szt. x 66 000= 66 000 zł netto	.																	
TRUE	1	Piec laboratoryjny rurowy	98 400,00 zł	80 000,00 zł	0	64 000,00 zł	Umożliwia realizację etapu 1. W badaniach nad elektrodami do baterii przepływowej konieczne jest przeprowadzenie procesów termicznych, takich jak suszenie, wypalanie lub redukcja. Piec laboratoryjny pozwala na precyzyjne kontrolowanie temperatury, czasu i atmosfery w trakcie tych procesów, co może mieć duży wpływ na właściwości elektrod.	Zaplanowano wynajem szafy na substancje chemiczne służącej wyłącznie celom badawczym w ramach projektu. Koszty oszacowano w oparciu o oferty firm – posiadających urządzenia laboratoryjne: Danlab - łączny koszt w kwocie 10 500 zł netto  Alchem - łączny koszt w kwocie 13 500 zł netto. Przyjęto średni koszt na poziomie 12 000 zł netto. Jako koszt kw. podano łączną kwotę planowaną do wynajmu szafy na substancje chemiczne. Metodologia szacowania kosztu: 1 x 12 000=12000 zł netto	.																	
